n 141548, BTC size 141548
40940.20278, 0.0002
40940.24444, 0.0001
40940.28611, 0
40940.32778, 0
40940.36944, 0.0001
40940.39722, 0
40940.41111, 0
40940.41667, 0
40940.42708, 0.0001
40940.45278, 0.0001
40940.47569, 0
40940.49444, 0
40940.53611, 0
40940.55625, 0
40940.57778, 0
40940.58194, 0
40940.61944, 0
40940.66111, 0
40940.70278, 0
40940.74444, 0
40940.78611, 0
40940.82778, 0
40940.86944, 0
40940.91111, 0
40940.95278, 0
40940.99444, 0
40941.03611, 0
40941.07778, 0
40941.11944, 0
40941.16111, 0
40941.20278, 0
40941.24444, 0
40941.28611, 0
40941.32778, 0
40941.36944, 0
40941.41111, 0
40941.45278, 0
40941.49444, 0
40941.53611, 0
40941.57778, 0
40941.61944, 0
40941.66111, 0
40941.70278, 0
40941.74444, 0
40941.78611, 0
40941.82778, 0
40941.86944, 0
40941.91111, 0
40941.95278, 0
40941.99444, 0
40942.03611, 0
40942.07778, 0
40942.11944, 0
40942.16111, 0
40942.20278, 0
40942.24444, 0
40942.28611, 0
40942.32778, 0
40942.36944, 0
40942.41111, 0
40942.45278, 0
40942.49444, 0
40942.53611, 0
40942.57778, 0
40942.61944, 0
40942.66111, 0
40942.68333, 0
40942.70278, 0.0002
40942.73819, 0.0003
40942.74444, 0.0003
40942.76042, 0.0001
40942.78611, 0.0002
40942.82778, 0.0001
40942.86944, 0
40942.88056, 0
40942.89097, 0
40942.90417, 0
40942.91111, 0
40942.925, 0
40942.94097, 0
40942.95278, 0
40942.97569, 0
40942.99444, 0
40943.01389, 0
40943.03611, 0
40943.07847, 0
40943.11944, 0
40943.16111, 0
40943.20278, 0
40943.24444, 0
40943.28611, 0
40943.32778, 0
40943.36944, 0
40943.41111, 0
40943.45278, 0
40943.49444, 0
40943.53611, 0
40943.57778, 0
40943.61944, 0
40943.66111, 0
40943.70278, 0
40943.74444, 0
40943.77292, 0
40943.78611, 0
40943.82778, 0
40943.86944, 0
40943.91111, 0
40943.95278, 0
40943.99444, 0
40944.03611, 0
40944.07778, 0
40944.11944, 0
40944.16111, 0
40944.20278, 0
40944.24444, 0
40944.28611, 0
40944.32778, 0
40944.36944, 0
40944.41111, 0
40944.45278, 0
40944.49444, 0
40944.53611, 0
40944.57778, 0
40944.61944, 0
40944.62639, 0
40944.66111, 0
40944.70278, 0
40944.74444, 0
40944.78611, 0
40944.82778, 0
40944.86944, 0
40944.91111, 0
40944.95278, 0
40944.99444, 0
40945.03611, 0
40945.07778, 0
40945.11944, 0
40945.16111, 0
40945.20278, 0
40945.24444, 0
40945.28611, 0
40945.32778, 0
40945.36944, 0
40945.41111, 0
40945.45278, 0
40945.49444, 0
40945.53611, 0
40945.57778, 0
40945.61944, 0
40945.66111, 0
40945.70278, 0
40945.74444, 0
40945.78611, 0
40945.82778, 0
40945.86944, 0
40945.91111, 0
40945.95278, 0
40945.99444, 0
40946.03611, 0
40946.07778, 0
40946.11944, 0
40946.16111, 0
40946.20278, 0
40946.24444, 0
40946.28611, 0
40946.32778, 0
40946.36944, 0
40946.41111, 0
40946.45278, 0
40946.49444, 0
40946.53611, 0
40946.57778, 0
40946.61528, 0
40946.61944, 0
40946.62917, 0.0001
40946.63819, 0.0001
40946.66111, 0
40946.67431, 0.0002
40946.70278, 0.0003
40946.74444, 0.0002
40946.78611, 0.0001
40946.79097, 0.0001
40946.82778, 0
40946.83958, 0
40946.8625, 0
40946.86944, 0
40946.91111, 0
40946.92708, 0
40946.95278, 0
40946.98333, 0
40946.99444, 0
40947.03611, 0
40947.05833, 0
40947.07778, 0
40947.11944, 0
40947.16111, 0
40947.20278, 0
40947.24444, 0
40947.28611, 0
40947.32778, 0
40947.36944, 0
40947.41111, 0
40947.45278, 0
40947.49444, 0
40947.53611, 0
40947.57778, 0
40947.61944, 0
40947.66111, 0
40947.70278, 0
40947.74444, 0
40947.78611, 0
40947.82778, 0
40947.86944, 0
40947.91111, 0
40947.95278, 0
40947.99444, 0
40948.03611, 0
40948.07778, 0
40948.11944, 0
40948.16111, 0
40948.20278, 0
40948.24444, 0
40948.28611, 0
40948.32778, 0
40948.36944, 0
40948.41111, 0
40948.45278, 0
40948.49444, 0
40948.53611, 0
40948.57778, 0
40948.61944, 0
40948.66111, 0
40948.70278, 0
40948.74444, 0
40948.78611, 0
40948.82778, 0
40948.86944, 0
40948.91111, 0
40948.95278, 0
40948.99444, 0
40949.03611, 0
40949.07778, 0.0001
40949.10347, 0.0002
40949.10972, 0.0002
40949.11944, 0.0002
40949.12431, 0
40949.15, 0.0002
40949.16111, 0.0003
40949.18681, 0.0002
40949.20278, 0.0003
40949.22847, 0.0001
40949.24306, 0.0001
40949.24444, 0.0001
40949.25208, 0
40949.27292, 0
40949.28611, 0
40949.29444, 0
40949.31181, 0
40949.32778, 0
40949.34931, 0
40949.36944, 0
40949.38889, 0
40949.40069, 0
40949.41111, 0
40949.42569, 0
40949.45278, 0
40949.49444, 0
40949.51806, 0
40949.53611, 0
40949.55764, 0
40949.57014, 0
40949.57778, 0
40949.58611, 0
40949.59097, 0
40949.61944, 0
40949.63056, 0
40949.63264, 0
40949.63958, 0
40949.64028, 0
40949.64514, 0
40949.64931, 0
40949.66111, 0
40949.66875, 0
40949.70278, 0
40949.74444, 0
40949.78611, 0
40949.82778, 0
40949.86944, 0
40949.91111, 0
40949.95278, 0
40949.95556, 0
40949.97778, 0
40949.99444, 0
40950.00139, 0
40950.01042, 0
40950.03472, 0
40950.03611, 0.0001
40950.05347, 0
40950.07778, 0
40950.11944, 0
40950.16111, 0
40950.20278, 0
40950.24444, 0
40950.28611, 0
40950.32778, 0
40950.36944, 0
40950.41111, 0
40950.45278, 0
40950.49444, 0
40950.52361, 0
40950.53611, 0
40950.57778, 0
40950.61944, 0
40950.66111, 0
40950.70278, 0
40950.74444, 0
40950.78611, 0
40950.82778, 0
40950.86944, 0
40950.91111, 0
40950.95278, 0
40950.99444, 0
40951.03611, 0
40951.07778, 0
40951.11944, 0
40951.16111, 0
40951.20278, 0
40951.24444, 0
40951.28611, 0
40951.32778, 0
40951.36944, 0
40951.41111, 0
40951.45278, 0
40951.49444, 0
40951.53611, 0
40951.57778, 0
40951.61944, 0
40951.66111, 0
40951.70278, 0
40951.74444, 0
40951.78611, 0
40951.82778, 0
40951.86944, 0
40951.91111, 0
40951.95278, 0
40951.99444, 0
40952.03611, 0
40952.07778, 0
40952.11944, 0
40952.16111, 0
40952.20278, 0
40952.24444, 0
40952.28611, 0
40952.32778, 0
40952.36944, 0
40952.41111, 0
40952.45278, 0
40952.49444, 0
40952.53611, 0
40952.57778, 0
40952.59236, 0
40952.61944, 0
40952.66111, 0
40952.70278, 0
40952.74444, 0
40952.78611, 0
40952.82778, 0
40952.86944, 0
40952.91111, 0
40952.95278, 0
40952.99444, 0
40953.03611, 0
40953.07778, 0
40953.11944, 0
40953.16111, 0
40953.20278, 0
40953.24444, 0
40953.28611, 0
40953.32778, 0
40953.36944, 0
40953.41111, 0
40953.45278, 0
40953.49444, 0
40953.53611, 0
40953.57778, 0
40953.61944, 0
40953.66111, 0
40953.70278, 0
40953.74444, 0
40953.78611, 0
40953.82778, 0
40953.86944, 0
40953.91111, 0
40953.95278, 0
40953.99444, 0
40954.03611, 0
40954.07778, 0
40954.11944, 0
40954.14861, 0
40954.16111, 0
40954.20278, 0
40954.24444, 0
